ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",1797,"Illinois","04000US17","illinois",8088630,0.6285483738238073
0,"White Alone",1,"Hispanic or Latino",2014,"2014",10190,"Illinois","04000US17","illinois",1242746,0.09657086272657314
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",3559,"Illinois","04000US17","illinois",1822304,0.1416069489904495
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",1812.9999999999998,"Illinois","04000US17","illinois",26750,0.002078679454961699
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",865.0000000000001,"Illinois","04000US17","illinois",14685,0.0011411367400415908
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",1314,"Illinois","04000US17","illinois",13850,0.0010762508579895153
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",2373,"Illinois","04000US17","illinois",622689,0.04838769462170637
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",561,"Illinois","04000US17","illinois",4713,0.00036623612228913973
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",336,"Illinois","04000US17","illinois",2564,0.00019924239710361857
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",179,"Illinois","04000US17","illinois",676,0.00005253036678706948
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",1603,"Illinois","04000US17","illinois",16926,0.0013152795683993165
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",11275,"Illinois","04000US17","illinois",734322,0.057062431952388214
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",4702.052743217583,"Illinois","04000US17","illinois",205454,0.015965346121110315
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",2943.327538688143,"Illinois","04000US17","illinois",72438,0.0056289862563931045
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",2071,"Illinois","04000US17","illinois",8126804,0.6325072844773039
0,"White Alone",1,"Hispanic or Latino",2013,"2013",11571,"Illinois","04000US17","illinois",1194106,0.09293699508909718
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",3574,"Illinois","04000US17","illinois",1825101,0.14204719067997845
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",1873,"Illinois","04000US17","illinois",26423,0.0020564960072549797
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",777,"Illinois","04000US17","illinois",14733,0.0011466659983683767
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",1497,"Illinois","04000US17","illinois",12815,0.0009973884999043472
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",2257,"Illinois","04000US17","illinois",605095,0.047094404553228324
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",648,"Illinois","04000US17","illinois",4828,0.0003757621285632609
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",340,"Illinois","04000US17","illinois",2446,0.00019037161691502405
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",186,"Illinois","04000US17","illinois",533,0.00004148326729996232
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",1734,"Illinois","04000US17","illinois",17221,0.0013403064656147298
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",12148,"Illinois","04000US17","illinois",752747,0.05858612572278561
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",4157.1934042091425,"Illinois","04000US17","illinois",196448,0.015289502616403371
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",3162.0894990496395,"Illinois","04000US17","illinois",69254,0.0053900228772825335
